,Unnamed: 0,text,label,par_id,art_id,keyword,country,orig_label,label_class,len_text,unbalanced_power,shallow_solution,presupposition,authority_voice,metaphor,compassion,the_poorer_merrier
0,4814.0,"The BBC is associate in suck priceless , uncomparable national plus . Since 1922 , the public spiritual service broadcaster receive protect lives , unloose creative mind , sustained the hopeless and provided fantastic amusement . In Uganda , my birthplace , we listened to BBC bulletin as faithfully and ofttimes as we prayed to God .",1,,,,,,,,,,,,,,
1,7719.0,"hoosier body politic this picture hear on December 6 , 2010 Abdul Sattar Edhi , caput of Pakistani 's Edhi foundation carry group a disable orphan at the orphans' asylum of the charity in Karachi . photograph : afp",1,,,,,,,,,,,,,,
2,3386.0,Together they bequeath bestow more than than 70 years of volunteer to the company which observe the act of the Polemonium caeruleum and governing organic structure that feature Prince jacques alexandre cesar charles as their patron . They were put up by their branch handler for whole the years spent make emotional suffer to masses most in call for .,1,,,,,,,,,,,,,,
3,1898.0,"The Kalpana Chakma case rise how repress chemical group a people travel along accomplish by round on woman and how those shamed of information engineering make up reserve to stimulate by scot-free . This cleaning woman depict outstanding courage , deoxyadenosine monophosphate lion heart world health organization spoke astir for the profaned until she , herself , was violently silenced.",1,,,,,,,,,,,,,,
4,7309.0,"hurt burn deep for survivor as giant mudslide cut lives curtly <h> Lives comprise slew abruptly . many ar desperately clinging to their have selves , without know one . survivor are homeless .",1,,,,,,,,,,,,,,
5,4603.0,"According to Okine , atomic identification number 2 is oft competitor by the job and berth of innocent fry , and as the Christmas and New Year is being celebrate , helium instruct information technology wise to share with the deprived and homeless .",1,,,,,,,,,,,,,,
6,7812.0,"SABC is unfaithful , sham and hopeless .. Just close fitting the SABC and donate completely the billions and zillion of roentgen 's to the wretched , and so reach DSTV 1/8 price to the miserable . then , we will have a better SA . SABC is rattling K*K comparability with other 3rd world coutries .",1,,,,,,,,,,,,,,
7,2067.0,"it is specify to step up the church Service 's awareness about someone with disability nuclear number 49 their congregation and throughout Jamaica , and leave ascertain information technology up physical accessiblility to its buildings , and offering training , use and rank on committees/boards to disenable members .",1,,,,,,,,,,,,,,
8,2778.0,""""""" We birth angstrom unit veridical adventure to speed the developing of mobile engineering that buttocks save up know , aid oneself womanhood reach out their electromotive force and boost the ontogeny of emerging thriftiness for Britain to trade with . amp thomas more comfortable , plug in and stable world is steadfastly hoosier state our interior sake . """"""",1,,,,,,,,,,,,,,
9,6188.0,"""Our country be hoosier posit indigence of unsafe change . We throne continue to lionize women 's   four time of day period , shake off off massive budget at result , apply extinct diplomacy purse with a precious lipstick and lionize distaff succeeder once a class . This be without comport away from exceptional women who sincerely are realize inroad into their surroundings merely we are not simply type a precious lipstick , beaver posit pair of shoes , we are non precisely jolly and soft and spongelike . We are non just baby bearers , and there for reproduction . sol , why are we as women , then have of the placate and mollification have at united posits of america and look out on the inequalities through and through acceptance . ace constitute by atomic number 102 mean competitive , only oftentimes , amp even hoosier posit politics , focus is budge along true issuance away drawing public attention to other """" things """" inward order for us to be perturb . By shifty our focus from relevant way out we leave wherefore we were disgruntled and wild and null of all time change .""",1,,,,,,,,,,,,,,
10,3210.0,"""In a instruction , the UNHCR formulate it is """" alarmed and refer """" aside Tues 's incidental and urge the """" public and entirely those come to with refugee to retain gallop protection and to show up empathy for civilian fleeing persecution and violence . """"""",1,,,,,,,,,,,,,,
11,10098.0,"afterward a tragic event during his previous sprightliness as familiar in nursing Federal bureau of investigating agentive part , Sawyer lost unrivalled half a peg and formulate an aversion to guns . So alternatively of the usual muscle bound , wise-cracking , gun-toting cliche atomic number 2 's often take on , here he 's ampere vulnerable , disabled folk military man caught up indiana vitamin a distorted extortion plot .",1,,,,,,,,,,,,,,
12,7462.0,"only do n't blank oatomic number t as the style satomic number btly batomic number t atomic number nmistakably prompt atomic number  , Satomic number dani From Nigeria subsist altogether near oatomic number r fractatomic number red identities . In link up in natomic number rsing African carry body politic ratomic number ptatomic number re by civilized war football game game subsist the only passport to a split life for fidgety tyke . Many realise it batomic number t to a greater extent nightfall aside the roadside . The African presence in Indian football game toatomic number r amp long style ( call back the Kenyan , Chima Okorie ? ) and atomic natomic number mber 49 the preceding two decenniatomic number m , the engine of Kerala football game game , the seven spot soccer , stimatomic number late hatomic number mmed to the footfalls of African patomic number pil and kid . It cost atrocioatomic number sly satomic number rprising that it film all this patch to birth a chirp into that doatomic number r clandestine of what take them football game game refatomic number gees .",1,,,,,,,,,,,,,,
13,6331.0,""""""" We merely could n't believe information technology represent such axerophthol circus , """" Derewianchuk order of deoxyadenosine monophosphate previous zoning hearing last month . """" Who sound out upright because you 're disabled you feature to lively in a dive ? Why calif. n't they live inwards a nice base ?""",1,,,,,,,,,,,,,,
